['白色巨塔 白い巨塔', '9.5', '29891', '2003-10-09(日本)']
['东京爱情故事 東京ラブストーリー', '9.4', '77230', '1991-01-07(日本)']
['母亲 Mother', '9.3', '20574', '2010-04-14(日本)']
['绅士刑警2 古畑任三郎 2nd Season', '9.3', '8267', '1996-01-10(日本)']
['海女 あまちゃん', '9.3', '16211', '2013-04-01(日本)']
['火花', '9.3', '15377', '2016-06-03(日本)']
['续倒数第二次恋爱 続・最後から二番目の恋', '9.3', '7102', '2014-04-17(日本)']
['胜者即是正义 リーガル・ハイ', '9.3', '123719', '2012-04-17(日本)']
['仁医 完结篇 JIN-仁2', '9.3', '13273', '2011-04-17(日本)']
['西瓜 すいか', '9.3', '13222', '2003-07-12(日本)']
['绅士刑警3 警部補古畑任三郎 3rd season', '9.3', '6349', '1999-04-13(日本)']
['虎与龙 タイガー&ドラゴン', '9.2', '10537', '2005-04-15(日本)']
['孤独的美食家 第五季 孤独のグルメ Season5', '9.2', '7574', '2015-10-02(日本)']
['深夜食堂', '9.2', '95644', '2009-10-09(日本)']
['重版出来！', '9.2', '34894', '2016-04-12(日本)']
['胜者即是正义2 リーガルハイ2', '9.2', '84100', '2013-10-09(日本)']
['孤独的美食家 第四季 孤独のグルメ Season4', '9.2', '9248', '2014-07-09(日本)']
['绅士刑警1 警部補古畑任三郎 1st season', '9.1', '13261', '1994-04-13(日本)']
['最完美的离婚 2014特别篇 最高の離婚Special 2014', '9.1', '24431', '2014-02-08(日本)']
['深夜食堂2', '9.1', '45927', '2011-10-13(日本)']
['交响情人梦 のだめカンタービレ', '9.1', '83143', '2006-10-16(日本)']
['世界奇妙物语 世にも奇妙な物語', '9.1', '6998', '1990-04-19(日本)']
['悠长假期 ロングバケーション', '9.1', '38979', '1996-04-15(日本)']
['半泽直树 半沢直樹', '9.1', '108098', '2013-07-07(日本)']
['四重奏 カルテット', '9.1', '63507', '2017-01-17(日本)']
['倒数第二次恋爱 2012秋SP 最後から二番目の恋 2012秋', '9.1', '5488', '2012-11-02(日本)']
['敬启，父亲大人 拝啓、父上樣', '9.1', '7545', '2007-01-11(日本)']
['坂上之云 第一部 坂の上の雲 第1部', '9.1', '5656', '2009-11-29(日本)']
['倒数第二次恋爱 最後から二番目の恋', '9.1', '13694', '2012-01-12(日本)']
['古畑任三郎 重生之死 古畑任三郎ファイナル 今、甦る死', '9.1', '7215', '2006-01-03(日本)']
['孤独的美食家 第三季 孤独のグルメ Season3', '9.0', '12400', '2013-07-10(日本)']
['孤独的美食家 第二季 孤独のグルメ Season2', '9.0', '14299', '2012-10-10(日本)']
['昨夜的咖喱 明日的面包 昨夜のカレー 明日のパン', '9.0', '11098', '2014-10-05(日本)']
['温柔时刻 優しい時間', '9.0', '7667', '2005-01-13(日本)']
['回首又见他 振り返れば奴がいる', '9.0', '7122', '1993-01-13(日本)']
['木更津猫眼 木更津キャッツアイ', '9.0', '6231', '2002-01-18(日本)']
['真幌站前番外地 まほろ駅前番外地', '9.0', '11966', '2013-01-11(日本)']
['ć\x88\x91ç\x9a\x84ć\x81\x90ć\x80\x96ĺŚťĺ\xad\x90 ĺ\x83\x95ă\x81Žă\x83¤ă\x83\x90ă\x82¤ĺŚť', '9.0', '80392', '2016-04-19(ć\x97Ľć\x9cŹ)']
['对不起青春 ごめんね青春！', '9.0', '43558', '2014-10-12(日本)']
