['老友记 第十季 Friends Season 10', '9.8', '41753', '2003-09-25(美国)']
['久石让在武道馆：与宫崎骏动画一同走过的25年 久石譲 in 武道館 ~宮崎アニメと共に歩んだ25年間', '9.7', '9256', '2008-08-05(日本)']
["银魂 第二季 銀魂'", '9.7', '28142', '2011-04-04(日本)']
['人间世', '9.6', '14409', '2016-06-11(中国大陆)']
['肖申克的救赎 The Shawshank Redemption', '9.6', '830911', '1994-09-10(多伦多电影节)']
['绝命毒师  第五季 Breaking Bad Season 5', '9.6', '59656', '2012-07-15(美国)']
['无耻之徒(美版) 第七季 Shameless Season 7', '9.5', '14171', '2016-10-02(美国)']
['星际牛仔 カウボーイビバップ', '9.5', '23027', '1998-04-03(日本)']
['马男波杰克 第三季 BoJack Horseman Season 3', '9.5', '16335', '2016-07-22(美国)']
["兰迪·波许教授的最后一课 Randy Pausch's Last Lecture", '9.5', '8480', '2007-11-09']
['虫师 续章 蟲師 続章', '9.5', '14652', '2014-04-04(日本)']
['马男波杰克 第二季 BoJack Horseman Season 2', '9.5', '19076', '2015-07-17(美国)']
['霸王别姬', '9.5', '594000', '1993-01-01(香港)']
['白色巨塔 白い巨塔', '9.5', '29945', '2003-10-09(日本)']
['美丽人生 La vita è bella', '9.5', '396952', '1997-12-20(意大利)']
['我亲爱的朋友们 디어 마이 프렌즈', '9.4', '11974', '2016-05-13(韩国)']
['钢之炼金术师FA 鋼の錬金術師 FULLMETAL ALCHEMIST', '9.4', '34555', '2009-04-05(日本)']
['唐顿庄园：2015圣诞特别篇 Downton Abbey: The Finale', '9.4', '6062', '2015-12-25(英国)']
['广告狂人 第七季 Mad Men Season 7', '9.4', '7317', '2014-04-13(美国)']
["辛德勒的名单 Schindler's List", '9.4', '367266', '1993-11-30(华盛顿首映)']
['这个杀手不太冷 Léon', '9.4', '797138', '1994-09-14(法国)']
['白箱 SHIROBAKO', '9.4', '5155', '2014-10-09(日本)']
['阿甘正传 Forrest Gump', '9.4', '683166', '1994-06-23(洛杉矶首映)']
['我和世界不一样 No Arms No Legs No Worries', '9.4', '5999', '2008-11-28']
['昭和元禄落语心中 昭和元禄落語心中', '9.4', '6861', '2016-01-08(日本)']
['梁思成与林徽因', '9.4', '6958', '2010-10-17']
