['老友记 第十季 Friends Season 10', '9.8', '41750', '2003-09-25(美国)']
['č\x80\x81ĺ\x8f\x8bčŽ°  çŹŹĺ\x85\xadĺ\xadŁ Friends Season 6', '9.7', '35276', '1999-09-23(çž\x8eĺ\x9b˝)']
['老友记  第五季 Friends Season 5', '9.7', '36170', '1998-09-24(美国)']
['老友记  第七季 Friends Season 7', '9.7', '33754', '2000-10-12(美国)']
['老友记  第四季 Friends Season 4', '9.7', '37610', '1997-09-25(美国)']
['老友记  第八季 Friends Season 8', '9.7', '33055', '2001-09-27(美国)']
['老友记  第九季 Friends Season 9', '9.7', '32370', '2002-09-26(美国)']
['老友记  第三季 Friends Season 3', '9.7', '39651', '1996-09-16(美国)']
['老友记 第二季 Friends Season 2', '9.7', '44425', '1995-09-21(美国)']
['我们这一天 第一季 This Is Us Season 1', '9.5', '43998', '2016-09-20(美国)']
['搞笑一家人 거침없이 하이킥!', '9.4', '34964', '2006-11-06(韩国)']
['奥丽芙·基特里奇 Olive Kitteridge', '9.3', '13587', '2014-11-02(美国)']
['ĺ\x9b\x9eĺż\x86ç§Żć\x9c¨ĺ°\x8fĺą\x8b ă\x81¤ă\x81żă\x81\x8dă\x81Žă\x81\x84ă\x81\x88', '9.3', '99315', '2008-06-10']
['我们的留学生活—在日本的日子', '9.3', '7343', 'none']
['续倒数第二次恋爱 続・最後から二番目の恋', '9.3', '7112', '2014-04-17(日本)']
['西瓜 すいか', '9.3', '13256', '2003-07-12(日本)']
['人生七年8 56 Up', '9.2', '6861', '2012-05-14(英国)']
['广告狂人  第三季 Mad Men Season 3', '9.2', '8962', '2009-08-16']
['绝望主妇  第八季 Desperate Housewives Season 8', '9.2', '19306', '2011-09-25(美国)']
["生活多美好 It's a Wonderful Life", '9.2', '30545', '1946-12-20']
['我们这一家 あたしンち', '9.2', '7326', '2002-04-19']
['背靠背，脸对脸', '9.2', '11230', '1994-09-10(多伦多电影节)']
['光阴的故事 Guang yin de gu shi', '9.2', '5347', '2008-11-01']
['东京物语 東京物語', '9.2', '45912', '1953-11-03']
['小鞋子 بچههای آسمان', '9.2', '129072', '1997-02(伊朗)']
['欲望都市 第六季 Sex and the City Season 6', '9.2', '16255', '2003-06-22']
['老爸老妈的浪漫史 第二季 How I Met Your Mother Season 2', '9.1', '22513', '2006-09-18(美国)']
['含泪活着 泣きながら生きて', '9.1', '12451', '2006-11-03(日本)']
['老爸老妈的浪漫史 第七季 How I Met Your Mother Season 7', '9.1', '15298', '2011-09-19(美国)']
['最完美的离婚 2014特别篇 最高の離婚Special 2014', '9.1', '24463', '2014-02-08(日本)']
['雇佣人生 El Empleo', '9.1', '51880', '2008-09-04(阿根廷)']
['女人步上楼梯时 女が階段を上る時', '9.1', '5380', '1960-01-15(日本)']
['围城', '9.1', '12995', '1990']
['老爸老妈的浪漫史 第三季 How I Met Your Mother Season 3', '9.1', '20570', '2007-09-24(美国)']
['老爸老妈的浪漫史 第六季 How I Met Your Mother Season 6', '9.1', '16213', '2010-09-20(美国)']
['樱桃小丸子2 ちびまる子ちゃん2', '9.1', '15709', '1995-01-08(日本)']
['倒数第二次恋爱 最後から二番目の恋', '9.1', '13717', '2012-01-12(日本)']
['我爱我家', '9.1', '38712', '1993-07-01(中国大陆)']
['剃头匠', '9.1', '6440', '2006-10-24']
['生活大爆炸 第七季 The Big Bang Theory Season 7', '9.0', '46258', '2013-09-27(美国)']
['活着', '9.0', '252529', '1994-05-18(法国)']
['我是 Jestem', '9.0', '5962', '2005-09-10']
['老爸老妈的浪漫史 第四季 How I Met Your Mother Season 4', '9.0', '19048', '2008-09-22(美国)']
['总而言之 第一季 Bref Season 1', '9.0', '14668', '2011-09-01']
['饮食男女 飲食男女', '9.0', '179414', '1994-08-03(美国)']
['昨夜的咖喱 明日的面包 昨夜のカレー 明日のパン', '9.0', '11113', '2014-10-05(日本)']
['老爸老妈的浪漫史 第五季 How I Met Your Mother Season 5', '9.0', '17589', '2009-09-21(美国)']
["实习医生格蕾 第十季 Grey's Anatomy Season 10", '9.0', '6299', '2013-09-26(美国)']
['卡比利亚之夜 Le notti di Cabiria', '9.0', '10946', '1957-05-26']
