['地球脉动 第二季 Planet Earth Season 2', '9.9', '24874', '2016-11-06(英国)']
['猎捕 The Hunt', '9.8', '5940', '2015-11-01(英国)']
['äşşçąťć\x98\x9fç\x90\x83 Human Planet', '9.8', '9881', '2011-01-12(č\x8bąĺ\x9b˝)']
['冰冻星球 Frozen Planet', '9.7', '8876', '2011-10-26(英国)']
['BBC：非洲 BBC: Africa', '9.7', '6034', '2013-08-19(中国大陆)']
['地球脉动 第一季 Planet Earth Season 1', '9.7', '23614', '2006-02-27']
['生命 Life', '9.7', '5595', '2009-10-12']
['企鹅群里有特务 Penguins: Spy in the Huddle', '9.7', '5866', '2012-02-11(英国)']
['南太平洋 South Pacific', '9.7', '5736', '2009-05-10']
['宇宙时空之旅 Cosmos: A SpaceTime Odyssey', '9.6', '5345', '2014-03-09']
['ć\x80ĽčŻ\x8aĺŽ¤ć\x95\x85äş\x8b çŹŹä¸\x80ĺ\xadŁ', '9.6', '3339', '2014-12-26(ä¸\xadĺ\x9b˝ĺ¤§é\x99\x86)']
['人间世', '9.6', '14779', '2016-06-11(中国大陆)']
['二次大战启示录 Apocalypse - La 2ème guerre mondiale', '9.5', '4452', '2009-09-08']
['可爱的动物 Animals Are Beautiful People', '9.5', '4111', '1974-11']
['蓝色星球 The Blue Planet', '9.5', '4737', '2001-09-12(英国)']
['隐秘王国 Hidden Kingdoms', '9.5', '3502', '2014-01-15(英国)']
['荒野求生 第一季 Man vs. Wild Season 1', '9.4', '8685', '2006-10-27(美国)']
['情热大陆 小栗旬篇 情熱大陸 小栗旬編', '9.4', '4126', '2007-11-18']
['地球 Earth', '9.4', '5332', '2007-11-16']
['德国，一个夏天的童话 Deutschland. Ein Sommermärchen', '9.4', '4857', '2006-10-05']
['玄奘之路', '9.4', '3425', '2011-10-31(中国大陆)']
['关口知宏中国铁道大纪行 関口知宏の中国鉄道大紀行', '9.4', '4372', '2007']
['梁思成与林徽因', '9.4', '7042', '2010-10-17']
['美丽中国 Wild China', '9.3', '27141', '2008']
['平衡', '9.4', '3383', '2000']
["艺术的力量 Simon Schama's Power of Art", '9.3', '5480', '2006-10-20']
['情热大陆 二宫和也篇', '9.3', '3074', '2007-05-06']
['我在故宫修文物', '9.3', '52329', '2016-01-07(中国大陆)']
['当哈利离别霍格沃茨 When Harry Left Hogwarts', '9.3', '3958', 'none']
['地球公民 Earthlings', '9.3', '7525', '2005-09-24(美国圣迭戈电影节)']
['萌宠成长记 第一季 Too Cute! Season 1', '9.3', '5218', '2011-04-30(美国)']
['搭车去柏林', '9.3', '17695', '2010-02-14(中国大陆)']
['我们的留学生活—在日本的日子', '9.3', '7372', 'none']
['与霍金一起了解宇宙 Into the Universe with Stephen Hawking', '9.3', '5189', '2010-04-25']
['舌尖上的中国 第一季', '9.3', '99414', '2012-05-14(中国大陆)']
['海豚湾 The Cove', '9.3', '178135', '2009-07-31(美国)']
